Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor,Producers (Full Name),Actors (Full Name),Directors (Full Name),Otherwise Involved (Full Name),Writer (Full Name),Camerawork (Full Name)
A Trip to Tuskegee,,Actuality,clipping_5212609.pdf (https://dl.airtable.com/29WMU4vSQeqMTJFk3qOv_clipping_5212609.pdf),"Verification:  The New York Age (New York, New York) 4 Aug 1910,  Page 7 -MC

""The film consisted of exterior scenes of the institute (including shots of Washington), views of the buildings erected by students, and images of students constructing roads and working in the institute's fields and dairy. Though Broome shot interior footage, none of it was included in the final cut due to exposure problems. Because of these technical issues, footage depicting the girls' industries and the mechanical industries were excluded from the film"" (Field 85).

On this film, see Field, pp. 84-100. --MP","Tuskegee Normal and Industrial Institute,George W. Broome Exhibition Company",1909,1910,3,Washington ,Broome,Broome,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,,George Broome,Booker T. Washington ,George Broome,,,
Sam Langford-Jim Flynn Prize Fight,,Newsreel,,,Western Film Production Company,1910,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Birth Mark,,Drama,,"unable to verify - SN
Included in prospectus for Foster Co. but not clear whether produced.

",Foster Photoplay Company,1911,,,,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,William Foster,,William Foster,,,
The Debt,,Drama,,,,1912,1912,2,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Railroad Porter,,Drama,clipping_5309516.pdf (https://dl.airtable.com/nBD3BdkFRkWcPhYbgTZm_clipping_5309516.pdf),"The New York Age (New York, New York), Thu, Feb 5, 1914, Page 6.",Foster Photoplay Company,1912,1913,1,"Lillison,Brown,Slaughter,Gradie",,,,,"Redefining Black Film,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Edgar Lillison, Kid Brown, Cassie Butch Slaughter, Lottie Gradie",,,,
Unknown (Jesus as a man of color),,,,,,1912,,,,,Morris,,,,,,,,Webb Morris,,,,,
Jack Johnson vs. Jim Flynn,,Boxing,Screen Shot 2016-05-09 at 5.03.08 PM.png (https://dl.airtable.com/fYGc92ggSB6El248Lv3A_Screen%20Shot%202016-05-09%20at%205.03.08%20PM.png),"Jack Johnson fights Jim Flynn for the heavyweight boxing championship of the world in Los Vegas, New Mexico on July 4, 1912.

See Moving Picture World, June 1, 1912, p. 876.","""Johnson-Flynn Feature Film Co., Inc.""",7/4/1912,,,"Johnson,Flynn",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Jack Johnson, Jim Flynn",,,,
A Day at Tuskegee,,Actuality,img?id=72093490&width=557&height=1964&crop=1215_3912_754_2708&rotation=0&brightness=0&contrast=0&invert=0&ts=1463080101&h=98fb6892a07dd354abfccdb4c52ba3bd (https://dl.airtable.com/GPwQjWfCT6CRtkDDhV0o_img%3Fid%3D72093490%26width%3D557%26height%3D1964%26crop%3D1215_3912_754_2708%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463080101%26h%3D98fb6892a07dd354abfccdb4c52ba3bd),"The Broad Ax, 29 Mar 1913, Sat, First Edition

On this film, see Field, 100-120. --MP",Anderson-Watkins Film Exhibition Company,1913,1913,4,Washington ,Marshall,,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,Booker T. Washington ,John Marshall,,,
Notable Negroes and Their Achievements,,,,,Hunter C. Haynes Photoplay Company,1914,1915,5,,,,,,,,,,,,,,,,
John Henry at Hampton: A Kind of Student Who Makes Good,John Henry's Four Years at Hampton,Drama,out (4).pdf (https://dl.airtable.com/DlpEZhmR4mUZ0wrgX1Cz_out%20(4).pdf),"""MOVING PICTURE STORY."" Afro-American (1893-1988), Jul 26, 1913. 7.",Hampton Institute,1912,7/1/1913,5,,Miner,,Miner,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Folsom,,,,,,Leigh Richmond Miner,,Cora Mae Folsom,Leigh Richmond Miner
Love Me Love My Dog,,Comedy,clipping_5213681.pdf (https://dl.airtable.com/0cn3VzStO5UwM4ajTsTQ_clipping_5213681.pdf),"Discrepancy: Sampson (1977) gives the production company as the Afro-American Film Company, and the date as 1914 (and Hunter C. Haynes as the producer), but this appears to be a 1913 Apollo comedy. As such, I'm not sure it actually belongs in the database. --MP",Apollo,1913,,,,,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Hunter Haynes,,,,,
The Butler,,Drama,,"Verification: DALY'S THEATER. (1913, Oct 11). Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530359734?accountid=14512
��
Richards gives the release date as 1911. --MP",Foster Photoplay Company,1913,8/1/1913,2,Dorsey,,Foster,Foster,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Redefining Black Film",,,,,William Foster,Lizzie Hart Dorsey,,,,William Foster
The Fall Guy,,Comedy,,"""Foster screened these flms at the States, Grand, and Pekin Theatres in
Chicago as well as at theaters catering to black patrons in St. Louis, Kansas
City, New York City, and Birmingham, Alabama."" (Field, 2016)",Foster Photoplay Company,1913,8/1/1913,2,,,,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Redefining Black Film",Moore,,,Foster Photoplay Company,,,,,W.H.A. Moore,
The Fall of the Mighty,,Comedy,"clipping_5331896.pdf (https://dl.airtable.com/x2AnI3QVQ2yu8pfgRqOt_clipping_5331896.pdf),clipping_5331902.pdf (https://dl.airtable.com/WoRFNzR9RaCEJE7bOuqL_clipping_5331902.pdf)","See The Intelligencer (Anderson, South Carolina), Sat, Jun 6, 1914, First Edition, Page 8; The Intelligencer (Anderson, South Carolina), Sun, Jun 7, 1914, First Edition, Page 5. --MP",Al Bartlett Film Manufacturing Company,1913,1913,,"Arnett,Jones,Bradford,Arnett,Lochart,McGarr,Taylor,Fox",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Billy Arnett, Clayburn Jones, I.D. Bradford, Grace Arnett, Ida Lochart,  McGarr, Ruby Taylor, George Fox",,,,
The Grafter and the Maid,The Grafter and the Girl,Drama,,,Foster Photoplay Company,1913,,2,"Gradie,Mills,Harrison,Moore,Brown,Cooper,Burton-Hyman",,Foster,Foster,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Envisioning Freedom: Cinema and the Building of Modern Black Life,Redefining Black Film",Mills,,,,William Foster,"Lottie Gradie, Jerry Mills, Richard B. Harrison, Judy Moore, Kid Brown, Kinky Cooper, Marie Burton-Hyman",,,Jerry Mills,William Foster
The Railroad Porter,The Pullman Porter,Comedy,out (7).pdf (https://dl.airtable.com/zmvt3SXRQhWYd22f8mih_out%20(7).pdf),The Chicago Defender,Foster Photoplay Company,1913,8/1/1913,,"Doe,Brown,Slaughter",,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,,,,"John Doe, Kid Brown, Cassie Butch Slaughter",,,,
