LN,FN,Full name,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Theatrical Company Assoc. With,Films
Abbott,Robert,Robert Abbott,,,,"Editor and publisher of Chicago Defender. Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Millionaire,,,,Oscar Micheaux and His Circle,,,,
Abbott,Mrs. Robert,Mrs. Robert Abbott,,,,"Wife of editor/publisher of Chicago Defender. Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Millionaire,,,,Oscar Micheaux and His Circle,,,,
Abrahams,Edward R.,Edward R. Abrahams,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Abrams,Ed,Ed Abrams,Dick Abrams,,,"Could he be the same as ""Edward Abrahams""? Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Agusta,Howard,Howard Agusta,,,,,,"Smiling Hate,Children of Fate",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Alexander,Chester A.,Chester A. Alexander,,,,,,Body and Soul,,,,,,,,
Alger,Paul K.,Paul K. Alger,,,,Adapted Smiling Hate (Richards).,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Smiling Hate,,,Smiling Hate
Allen,Anna Lou,Anna Lou Allen,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Allen,Eleanora,Eleanora Allen,,,,"Secretary of Paragon Pictures, per Sampson (77). --MP",,,,,,Blacks in Black and White,,Paragon Pictures,,
Amos,Tom,Tom Amos,,,,,,A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Anderson,Charles H.,Charles H. Anderson,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Anderson,Mrs. Charles H.,Mrs. Charles H. Anderson,,,,,,Uncle Remus' First Visit to New York,,,,,,,,
Anderson,Ida,Ida Anderson,,,,,,"Deceit,A Son of Satan,The Secret Sorrow,Gayety",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Anderson,Allegretti,Allegretti Anderson,,,,,,Georgia Rose,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Andlauer ,W.A.,W.A. Andlauer ,,5/24/1882,8/1/1953,,,,,,As the World Rolls On,American Film Institute Catalog,,Andlauer Production Company,,
Anson,A.E,A.E Anson,,,,,,Arrowsmith,,,,,,,,
Anthony,Emmett,Emmett Anthony,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Armour,Jean,Jean Armour,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Arnau,Brenda,Brenda Arnau,,,,,,,,,,,,,,
Arnett,Billy,Billy Arnett,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Arnett,Grace,Grace Arnett,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Arnold,Sam,Sam Arnold,,,,,,The Barber,,,,The Ambitions of William Foster,,,,
Askins,Ida,Ida Askins,,,,,,The Colored American Winning His Suit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Austin,Jack,Jack Austin,,,,,,The Green Eyed Monster,,,,Oscar Micheaux and His Circle,,,,
Austin,S.A.,S.A. Austin,"Buddy Austin, Buddie Austin",,,"Organized Strand Amusement Corp., per Sampson (77). --mp",,,,,,Blacks in Black and White,,Strand Amusement Corporation,,
Ayers,Benny,Benny Ayers,,,,"Box 2 Ayers, Benny, GPJ Collection

",,,,,,George P. Johnson Negro Film Collection,,,,
Baker,William,William Baker,,,,,,The Wages of Sin,,,,,,,,
Baker,Josephine,Josephine Baker,Jo Baker,,,,,"The Siren of the Tropics,The Count,The Revue des Revues",,,,George P. Johnson Negro Film Collection,,,,
Barker,Edwin L.,Edwin L. Barker,,,,"According to Sampson, was president of Birth of a Race Photoplay Corp. --MP",,,,,,Blacks in Black and White,,Birth of a Race Film Company,,
Barr,Edna,Edna Barr,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Bates,Lester,Lester Bates,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Bates,Leo,Leo Bates,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Bearden,Bessye,Bessye Bearden,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Gunsaulus Mystery,,,,Oscar Micheaux and His Circle,,,,
Bell,Spencer,Spencer Bell,,,,,,Tenderfeet,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Bell,Willie,Willie Bell,,,,Secretary of Afro-American Film Exhibitors Company (Sampson 76). --MP,,,,,,Blacks in Black and White,,Afro-American Film Company,,
Bennett,Richard,Richard Bennett,,,,,,Arrowsmith,,,,,,,,
Billings,Jesse R.,Jesse R. Billings,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Birdsong,Sylvia,Sylvia Birdsong,,,,,,"The Wages of Sin,The Witching Eyes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
