Title,Author LN,Author FN,Date of Publication,Publisher,Archive,Location in Archive,Notes,Attachments,Films,Production Company,People
"""The burden of race""",,,,,New York Public Library,Digital Collections,http://digitalcollections.nypl.org/items/510d47df-fb4a-a3d9-e040-e00a18064a99,,,,Chenault
"University of Minnesota Libraries, Givens Collection of African American Literature",,,,,,,,,,,
American Film Institute Catalog,,,,,,,,,"The Wages of Sin,The Brute",,Andlauer 
"Within Our Gates: Ethnicity in American Feature Films, 1911-1960",,,,,,,,,"The Witching Eyes,The Sport of the Gods",Ernest Stern,Stern
George P. Johnson Negro Film Collection,,,,,UCLA Special Collections,,,,"The Man from Texas,For His Mother's Sake,Loyal Hearts,The Minister's Temptation,Boy What a Girl,Heroic Colored Soldiers of the War,His Great Chance,Tenderfeet,Home Brew,Absent,The Assignment,Arrowsmith,The $10000 Trail,The President's Lady,The Young Don't Cry,Children of Fate,Heart of Dixie,The Exile,The Custard Nine,The Eyes of Mystery,Festival,The Gunsaulus Mystery,The Stranger,The Confession,Blind Wives,The Lure of a Woman,The Avenging Arrow,Darktown Affair,A Busted Romance,Fighting Love,A Black and Tan Mix-Up,The Flames of Wrath,A Daughter of Pharoah,A Day in the Magic City of Birmingham,Democracy Paid For,Devils Match,A Fool's Paradise,The Green Eyed Monster,Howard-Lincoln Football Game,From Cotton Patch to Congress,Nine Lives,Our Colored Fighters,Foolish Wives,In the Depths of Our Hearts,Shadowed by the Devil,The Man in Ebony ,Love and Undertakers,The Greatest Sin,Nobody's Children,Eyes of Youth,The Fighting Deacon","Ben Roy Productions,Blackburn Velde Productions,E.L. Cummings,Bookertee Film Company,Herald Pictures,Crispus Attucks News Review,Centrake Cinematographique,FBO,Ker-Mar Producing Company,McAfee Film Company,Charles H. Turpin,Colored and Indian Film Corporation,North State,De Light Film Company,Christie Film Company,Aristo Film Company,Rosebud Film Corporation,Associated Negro Picture Distributors,Birth of a Race Film Company,Biltmore Film Company,Florentine Film Manufacturing Company,Constellation Film Corporation,Trinity Film Corporation,Quality Amusement Company,Young Producers Filming Corporation,Trio Productions,America Motion Picture Corporation,Colored Feature Photoplays,Baccus Film Company,Colored Motion Picture Producers of America,Cosmopolitan Picture Corporation,Cuckoo Comedies,William H. Clifford Photoplay Company,Downs-Whipper-Allen Moving Picture Company,Dixie Nations Pictures Incorporated,Deanwood Picture Corporation,Douglas Amusement Company,Downing Film Company,Duplex Colored Motion Picture Productions,Domino Productions Inc.,E.S.&L. Colored Picture Photoplay Company,Eureka Film Corporation,Finely Film Company,Fife Production Company,The Foster Photoplay Company,Famous Artist Film Coporation,Famous Artist Film Company,Gate City Feature Film Company,Harris-Ebony Film Company,International Negro Newsreel,L-Ko,Century Film Company,Loyalty Film Company,Democracy Film Corporation,Monumental Corporation,A.A. Millman,Mesco Productions,Maurice Film Company,Now Liberty Studio Film Company,National Colored Film Corporation,Negro Comedy Film Company,Peter P. Jones Photoplay Ltd.,Progress Picture Producing Assoication,Roosevelt Picture Corporation,Railroad Men's Amusement Assoication Inc.,Renaissance Film Company,Ridge Photoplay Company,Thought Supreme Film Company,Tonofilm Corporation,Township Film Company,Toussaint Motion Picture Company,Western Film Production Company,Whilco Film Corporation,Eureka Film Company,Juliet Educational Film Company","Wilson,Dones,Franklin,Moore,Smith,Williams,Jackson,Guyse,Lewis,Mays-Sibil,Patterson,Stewart,Watson,Cartlett,Cornell,Smart,Moore,Hart,Burns,Russell,Slater,Long,Baker,Skinner,Burns,Ayers,Gregory,White,Muse,Walker,Doanes,Walthall,Burris,Pickett,Brooks,Byrd,Dempsey,Harper,Cole,Morrell,Newsome,Randol,Vernon,Holder,Heywood,Fenderson,Goudal,Chrisander,Wardner,Teycer,Noisette"
American Film Institute: Catalog of Feature Films,,,,,,,http://www.afi.com/members/catalog,,,,
The New York Amsterdam News ,,,1937,,,,"New York, N.Y 04 Dec 1937: 19. -MC",,,,"Turnham,Harris"
Primary Source,,,,,,," Bradford Evening Star and The Bradford Daily Record
(Bradford, Pennsylvania)
2 Jun 1933, Fri • Page 6 ",,,,
Solomon Sir Jones Films Collection,,,,,Yale University,WA MSS S-2636,"Solomon Sir Jones, Baptist minister, businessman, and amateur filmmaker. Jones was born in Tennessee to former slaves and grew up in the South before moving to Oklahoma in 1889. Jones became an influential Baptist minister, building and pastoring fifteen churches. He was head of the Boyd Faction of Negro Baptists in America and was a successful businessman.
Description of the Papers

The Solomon Sir Jones films consist of 29 silent black and white films documenting African-American communities in Oklahoma from 1924 to 1928. The films measure 12,800 feet (355 min). All films are B-wind positive prints, except one roll that contains approximately 150 feet of orange base B-wind positive.

Jones filmed Oklahoma residents in their homes; during their social, school and church activities; in the businesses they owned; and performing various jobs. The films document several Oklahoma communities, including Muskogee, Okmulgee, Tulsa, Wewoka, Bristow and Taft. The films also document Jones's trips to Indiana, Texas, Louisiana, Arkansas, Tennessee, Missouri, Illinois, New York City, South Carolina, Colorado, and overseas to France, England, Palestine, Switzerland, Italy, Northern Africa, and Germany. Slates between scenes identify locations, dates, and subjects.

Jones frequently filmed at various locations by positioning himself outside a building while people exited the building in a line. This perspective provides footage of people as they walk by the camera, usually looking directly at it. Footage of churches includes congregants exiting the service and socializing outside; footage of schools often includes students playing outside or doing exercises; and footage of people at their home includes them outside on their porches or in their yards. Aside from church and scheduled school activities, people presumably exited at Jones's request for the purpose of being filmed by him.
",,,,Jones
Oscar Micheaux and His Circle,Bowser,Pearl,2001,Indiana University Press,,,,,"The Bull-Dogger,The Crimson Skull,Regeneration,Black Gold,The Homesteader,8th Regiment in Chicago,Within Our Gates,The Brute,The Symbol of the Unconquered,The Gunsaulus Mystery,The Dungeon,The Virgin of Seminole,Birthright,A Son of Satan,The House Behind the Cedars,The Devil's Disciple,The Conjure Woman,The Millionaire,Thirty Years Later,The Broken Violin,The Wages of Sin,When Men Betray,A Daughter of the Congo,Easy Street,Uncle Jasper's Will,Marcus Garland,A Prince of His Race,The Love Bug,The Scar of Shame",Lafayette Players,"Austin,Dunbar,Mills,Frisbie,Stewart,Johnson,Bush,Turpin,Pickett,Larkin,Haddon,Lucas,Mayo,Maxwell,Norcom,Gaines,Rucker,Criner,Platts,DeLegge,Daniels,Jordan,Tatums,Hall,Smith,Duncan,Wood,George,Edwards,Edwards,Chenault,Gorman,Clements,Cook,Johnson,Ruffin,Ladd,Evelyn,Smith,Harris,Gorgas,Cutler,Bowman,Williams,Plater,Gaines,Thompson,Catlin,King,Wilkes,Burroughs,Fraction,Loach,Abrams,Bearden,Williams,Brown,Watts,Christian,Sindle,Russell,Kroll,Crowell,Elkas,Hawley,Anthony,Ellis,Dove,Brown,Robinson,Stewart,Sewall,Smallwood,Major,Easton,McLane,Jackson,Loveless,Rodgers,Gulport,Williams,Diggs,Barr,Williams,Abbott,Abbott,Bracken,Paul,Hind,McCormack,Pettus,Kennedy,Bishop,DeComathiere,Preer,Lucas,Smith,Tutt"
Envisioning Freedom: Cinema and the Building of Modern Black Life,Caddoo,Cara,2014,Harvard University Press,,,,,"A Day at Tuskegee,The Railroad Porter,The Butler,The Birth of a Race,The Homesteader,Marcus Garland,A Daughter of the Congo,Body and Soul,For the Honor of the 8th Ill. U.S.A.,The Grafter and the Maid","Foster Photoplay Company,Micheaux Film Corporation,Tuskegee Normal and Industrial Institute,Anderson-Watkins Film Exhibition Company,The Photoplay Corporation,Crispus Attucks News Review,Florentine Film Manufacturing Company,Monumental Corporation,Douglas Photoplay Syndicate,Delsarte Film Corporation,Sidney P. Dones,Peter P. Jones Photoplay Ltd.,Delight Films,Progress Picture Producing Assoication","Morris,Brooks,Smith,Foster,Muse,Robeson,Doe,Russell"
Slow Fade to Black,Cripps,Thomas,1993,Oxford University Press,,,,,"Democracy or a Fight for Right,A Giant of His Race,Othello,The Scapegoat,The Colored American Winning His Suit,From Harlem to the Rhine,His Great Chance,The Lure of a Woman,Square Joe,Reformation,Barber of Darktown,Spitfire,As the World Rolls On,Within Our Gates,The Conjure Woman,The House Behind the Cedars,Marcus Garland,Spider's Web,The Midnight Ace,Birthright,Easy Street,The Scar of Shame,A Prince of His Race,Thirty Years Later,The Witching Eyes,Temptation,Loyal Hearts","Democracy Photoplay Corporation,Delight Films,Gate City Feature Film Company,Renaissance Film Company,Andlauer Production Company,Lone Star Motion Picture Company,Cotton Blossom Film Corporation,Superior Arts Motion Picture Company,C.B. Campbell,Colored and Indian Film Corporation,Colored Feature Photoplays,Constellation Film Corporation,L-Ko,North State,Monarch,Monumental Corporation,Blackburn Velde Productions,Eureka Film Company","Scraggins,Dunbar,Dones,Strasser,Davis,Jeannette,Snowden,Sul-Te-Wan,Lucas,Howard,Harrison,Gilpin,Dudley,Moses,Peregini,Ligouri,Bishop,Moses,Rogers,Chester,Smith,Monagas"
Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Field,Allyson,2015,Duke University Press,,,,,"Making Negro Lives Count,John Henry at Hampton: A Kind of Student Who Makes Good,Within Our Gates,The Symbol of the Unconquered,A Trip to Tuskegee,A Day at Tuskegee,Cephas Returns","Norman Film Manufacturing Company,Maurice Film Company,Anderson-Watkins Film Exhibition Company,George W. Broome Exhibition Company","Gilbert,Norman,Williams,Folsom,Miner,Bock,Burton-Hyman,Brown,Cooper,Slaughter,Gradie,Anderson,Marshall,Broome,Dorsey"
The Ambitions of William Foster,Field,Allyson,2016,,,,,,"The Fall Guy,The Colored Championship Base Ball Game,The Barber,8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Mother,Smile Film of Colored Troops' Folks,Birth Mark,Fool and Fire,Brother,YMCA Dedication,The Colored American Winning His Suit,For the Honor of the 8th Ill. U.S.A.,A Woman's Worst Enemy","Foster Photoplay Company,Frederick Douglass Film Company","Hanson,Mills,Moore,Foster,Holt,Kelly,Harris,Arnold,Joynes,Marshall,Robinson,Bowen,Ellis,Clark,Jones,Weber,Lillison"
Fire and Desire: Mixed-Race Movies in the Silent Era,Gaines,Jane,2001,University of Chicago Press,,,,,,,Micheaux
The Documentary Film Reader,Kahana,Jonathan,Oxford,Oxford University Press,,,,,"The Dawn of Truth,Negro Soldiers Fighting for Uncle Sam,The Troubles of Sambo and Dinah,The Slacker",,
Frame by Frame: A Black Filmography (Part 1),Klotman,Phyllis Rauch,1979,Indiana University Press,,,,,"The $10000 Trail,As the World Rolls On,The Bar Sinister,Birthright,Black Thunderbolt,The Burden of Race,Clef Club Five Minutes for Train,The Colored American Winning His Suit",A.A. Millman,"Rowland,Dumont,Henderson,Ross,Herman,Teal,Faltenburg,Patrick,Smith,Crockett,Dennis"
Richard E. Norman and Race Filmmaking,Lupack,Barbara Tepa,2014,Indiana University Press,,,,,"The Law of Nature,A Man's Duty,By Right of Birth,The Heart of A Negro,Spying the Spy,A Black Sherlock Holmes,The Custard Nine,The Sport of the Gods,The Secret Sorrow,The Scar of Shame,Zircon,Regeneration,A Black and Tan Mix-Up,Spooks,Deceit,Fighting His Way Thru,Smiling Hate,The Millionaire,The Call of His People,Sleepy Sam the Sleuth","Norman Film Manufacturing Company,Afro-American Film Company,Lincoln Motion Picture Company,Unique Film Company,Seminole Film Producing Company,Rosebud Film Corporation,Ebony Film Corporation,Harris Dickson Film Company,Colored Players Film Corporation of Philadelphia,Superior Arts Motion Picture Company,Maurice Film Company,Bookertee Film Company","Norman,Scott,Levy,Haynes,Howard,Smith,Starkman,Dorsey,Horn"
"Richard E. Normon and Race Filmmaking Collection, 1912-1997",Normon,Richard E.,,,Indiana University Black Film Center/Archive ,COL 16,"25 boxes, 1 map drawer 
Finding aid available at: http://webapp1.dlib.indiana.edu/findingaids/view?docId=VAC1152.xml&brand=general&startDoc=21
",,,,Norman
"The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926",Petersen,Christina,2007,Film History,,,,,"The Jazz Hounds,The Secret Sorrow,The Simp,Easy Money,Spitfire,The Schemers,The Call of His People,The Sport of the Gods,Ties of Blood,The Burden of Race,A Tuskegee Pilgrimage,Eyes of Youth,The Leader of His Race ","Reol Productions Corporation,Ebony Film Corporation,Quality Amusement Company","Vernot,Forrest,Morton,Verwayen,Mitchell,Offeman,Reiger,Boyer,Abrahams,Brown,Brown,Hall,Armour,Walpole,Thomas,Mason,Burris,Kemp,Steven,Clough,Woodson,Pleasants,Ray,Duncan,Williams,Young,Shannon,Pryor,Martin,Slater,Robinson,Cook,Williams,Smith,Crosby"
"African American Actresses: The Struggle for Visibility, 1900-1960",Regester,Charlene,2010,Indiana University Press,,,,,,,Sul-Te-Wan
Redefining Black Film,Reid,Mark A.,1993,University of California Press,,,,,"The Railroad Porter,The Realization of a Negro's Ambition,The Trooper of Company K,The Gunsaulus Mystery,The Grafter and the Maid,The Butler,The Fall Guy",,
"African American Films Through 1959: A Comprehensive, Illustrated Filmography",Richards,Larry,,,,,,,"Smiling Hate,Hearts of the Woods,Steppin' High,The Witching Eyes,When True Love Wins,With the Help of Uncle Eben,The Wife Hunters,When Men Betray,When Good Luck Comes Our Way,Upward Path,Walker Newsreel No. 1,Undisputed Evidence,Turpin's Real Reels,Uncle Jasper's Will,Thirty Years Later,As the World Rolls On,Are Working Girls Safe?,Tenderfeet,Absent,Aladdin Jones,Bathing Beauty Parade Pacific Beach,The Bar Sinister,Birth Mark,Birthright,A Black and Tan Mix-Up,The Black Boomerang,Black Gold,A Black Sherlock Holmes,Body and Soul,Booker T. Washington's Industrial School,The Broken Violin,Brother,The Brute,The Bull-Dogger,The Bully,The Butler,The Call of His People,The Charge of the Black Brigade,A Child in Pawn,Children of Fate,A Chocolate Cowboy,Clef Club Five Minutes for Train,The Colored American Winning His Suit,The Colored Championship Base Ball Game,Colored Elks Parade,Colored Soldiers Fighting in Mexico,Colored Troops at Chillicothe,Come Back,The Comeback of Barnacle Bill,The Conjure Woman,The Crimson Skull,The Custard Nine,Dandy Jim's Dream,Dark and Cloudy,Darktown Affair,Darktown Jubilee,Dat Blackhand Waitah Man,A Daughter of Pharoah,A Daughter of the Congo,The Dawn of Truth,A Day at Tuskegee,A Day in the Magic City of Birmingham,A Day with the Tenth Cavalry at Fort Huachaca,A Day in the Nation's Capital,The Debt,A Debtor to the Law,Democracy or a Fight for Right,Devil for a Day,The Devils,The Devil's Disciple,The Devil's Match,The Disappearance of Mary Jane,Do the Dead Talk?,Doing Their Bit,The Dungeon,Easy Money,Easy Street,Eddie Green's Rehearsal,Eleven P.M.,The Birth of a Race,The Fall Guy,The Fall of the Mighty,The Fighting Deacon,Fish,Fixing the Faker,The Flaming Crisis,The Florian Slappey Series,The Flying Ace,Fool and Fire,Foolish Lives,Peacock News Reel #1,Peacock News Reel #2,The Perfect Dreamer,Pickin' Cotton,The Porters,Prize Drill Team,Progress of the Negro,Pythian Conclave and League Parley,Pythian Parade and 19th Biannual Encampment,Re-Birth of a Nation,Reckless Money,A Reckless Rover,A Regeneration of Souls,Renissance Newsreel,Return of Black Hawk,A Review of the B.M.C. and Colored Business World,The Revue des Revues,Saddle Daze,St. Louis Blues,Sam Langford-Jim Flynn Prize Fight,Samba,Seeing Kansas City in Action,Shadowed by the Devil,Shine Johnson and the Rabbit Foot,Shoot 'Em Up Sam,A Shot in the Night,Shuffling Jane,Sissle and Blake,Slave Days,Slim-the-Cow-Puncher,Snappy Tunes,Song After Sorrow,The Southern Negro Baptism,The Stranger from Way Out Yonder,What Happened in the Tunnel,What's the Use?,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,You Can't Keep a Good Man Down,Wrong All Around,Wrong All Around,Woman's Error,Why Worry?,The Wrong Mr. Johnson,The Janitor,The Tango Queen,Ten Nights in a Bar-Room ,Toussaint L'Ouverture,Tony's Shirt,By Right of Birth,Let's Do the Black Bottom ,Jack Johnson vs. Jim Flynn,Lincoln Pictorial ,Love Me Love My Dog,Lovie Joe's Romance,Tuskegee Finds a Way Out,Uncle Remus' First Visit to New York,Harlem Rides The Range,The Leader of His Race ,Mandy's Choice,The Midnight Ace,A Modern Cain,The Love Bug,Gayety,Georgia Rose,A Ghost Hunt,Ghosts,A Woman's Worst Enemy,The Girl from the Pepper Patch,Golden Pearls of Progress,Good Luck in Old Clothes,The Grafter and the Maid,The Green Eyed Monster,Harlem Knights,Harlem Mania,Harry Wills in Training,Haynes Newsreel No. 1,Haynes Newsreel No. 2,Haynes Newsreel No. 3,Hazel Green and Company,Heart of Dixie,Love and Undertakers,The $10000 Trail,Ties of Blood,The Railroad Porter,The Flames of Wrath,The Law of Nature,Eyes of Youth,Sleepy Sam the Sleuth,The Trooper of Company K","Southern Motion Picture Company,William Deans,T.H.B. Walker's Colored Pictures,Charles H. Turpin,Crusader Film Company,Midnight Productions,Frank Hall Production,Birth of a Race Film Company,William H. Clifford Photoplay Company,D.W.D. Film Corporation,Cyclone Pictures,Brotherhood of Elks,Finely Film Company,Enterprise Film Company,Gaiety Comedies,Mt. Olympus Distributing Co.,Trinity Film Corporation,Pyramid Picture Corporation,Acme Film Distribution Corporation,Paragon Pictures,General Film Company,Toussaint Motion Picture Company,Al Bartlett Film Manufacturing Company,Tiger Flowers & Walt Miller,Milton Star,Western Film Production Company,Mesco Productions,Octavus Cohen,Young Producers Filming Corporation,Peacock Photoplay Company,Tiffany Film Company,Madam C.J. Walker Manufacturing Company,Dudley Film Company,Whilco Film Corporation,Leigh Whipper Film Company,Blackhawk Films,Sack Amusement Enterprises,Muchener Lichtspielkunst Emelka,Coloniale du Film,St. Paul Presbyterian Church,Black Western Film Company,Tropical Photoplay Company,Lee De Forest Phonofilms,Dunbar Film Corporation,Monumental Corporation,George M. Lewis Stock Compay,Castle Films,White Film Corporation,Comet Film Exchange,E&H Distribution Company","Calnek,Henderson,Talley,Agusta,Milton,Clayton,Lee,Ujiffy,Alger,Fish,Harris,McGuire,Pierson,Allen,Gibson,Birdsong,Whitney,Tucker,White,Purty,Townsend,Stevens,Massey,Grant,Walton,Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard,Deans,Jones,Jones,Brown,Harris,Gilliam,Harper,Williams,Anderson,Fountaine,Turpin,Hall,Smith,Dabney,Carter,Williams,Kelly,Edmondson,Washington,Washington,Bell,Robinson,Burwell,Mickey,Moore,Johnson,Groner,Johnson,Thompson,Thomas,Simpson,Rice,Crawford,Reed,Owens,Lincoln,Shackeford,Gant,Lewis,Noble,Tutt,Mines,Tatum,Elkas,Sewall,Crowell,Phillips,Foster,Horne,Hill,Thompson,Sutton,Thompson,King,Bates,Meehan,Ellenwood,Kinbrough,Childers,George,Prevost,Bates,Mitchell,Bowser,Jackson,Parker,Reavis,Blake,Europe,Mosley,Askins,Snead,Davis,King,Leighton,Snead,Snead,Fullen,Nolan,Ray,Watson,Price,Whipper,Chesnutt,Custard,Criddle,Jenkins,Fletcher,Haywood,Byron,Ovey,Byrd,Williams,Redd,Irving,Moore,Guilford,Wilson,Harding,Dawson,Burton,Truate,Clifford,Anderson,Desmond,Lucas,Johnstone,Watkins,De Bulger,Watkins,Miller,McGowan,Schooler,Brown,Carey,Miles,Brown,Coldwell,Sandifer,Billings,Dixon,Galezio,Peterson,Carey,Henry,Long,Cox,Hargrave,MacCullough,Goodman,Crowell,Cooke,Green,Pope,Lane,Williams,Palmer,Arnett,Jones,Bradford,Arnett,Lochart,McGarr,Taylor,Fox,Flowers,Lawson,Mankins,Burton,Pearson,Kelson,Johnson,Colbert,Williams,Dunbar,Nicholson,White,Dixon,Sherman,Chester,Yeargan,Butler,Goldman,Cohen,Chatman,Harris,Carter,Cox,Patterson,Patton,Sissle,Gourdin,Parlam,Forbes Randolf Kentuck Jubilee Singers,Walker,La Rue,Watkins of Durham,Dudley,David,Jones,Nolan,Nalpas,Dixon,Luquet,de Balzac,Carise,Varna,Smith,Mordecai,Washington,Lee,Hall Johnson Chorus,Murphy,Sack,Handy,Johnson ,Strenge,Shields,Oschmann,Sargent,Bruckner,Fletcher,Mills,Webb,Hoelby,Freeman,Amos,Tolliver Brothers,De Forest,Forbes,Tyler,Junior,Lewin,Watson,Moralis,Whitely,Brown,Morris,Smith,Flynn,Michaels,Kelly,Wiley,Carter,Sam Lucas,Daly,Hotaling,Mitchell,Washington ,Marshall ,Fletcher,Lemonier,Ridley,Watson,Simms,Souders,Roth,Cook,Wade,Dugas,Brown,Gaytzera,Smith ,Penalver,Day,Lyles,Carrols,Williams,Young,Mason,Everett,McKinney,Moreland,McCalla,Criner,Peoples,Morr,Morrow,Flemings,Jenkins,Wilkins,Brown,Popkin,Popkin,Cooper,Sanforth,Brooks,Harrington,Wilson,Hyson,Anderson,Johnson,Dyer,Washington,Professor Hosay',Mabel,DeComathiere,Preer,Mahon,Brooks,Gradie,Moore,Quintette,Walcott,Foy,Cornick,Lucas,Ray,Russell,Fenderson,Faltenburg,Mix,Morton,Stewart,Millman"
Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II,Robinson,Cedric J.,2007,University of North Carolina Press,,,,,"In the Depths of Our Hearts,When True Love Wins,The Scar of Shame,The Crimson Skull,Ten Nights in a Bar-Room ,Mother,The Slacker","Southern Motion Picture Company,George W. Broome Exhibition Company,Afro-American Film Company,Peter P. Jones Photoplay Ltd.,The Heart of America Film Corporation,Allmon-Hudlin Film Company","Fisher,Allmon"
Blacks in Black and White,Sampson,Henry T.,1977,The Scarecrow Press,,,,,"Hello Bill,The Law of Nature,The Scapegoat,Love and Undertakers,In the Depths of Our Hearts,Loyal Hearts,Reformation,Upward Path,The Minister's Temptation,The $10000 Trail,How High Is Up?,The Realization of a Negro's Ambition,Spying the Spy,The Colored American Winning His Suit,The Symbol of the Unconquered,As the World Rolls On,The Burden of Race,A Giant of His Race,A Modern Cain,For His Mother's Sake,The Schemers,Spitfire,The Devil's Match,His Great Chance,The Secret Sorrow,The Sport of the Gods,Why Worry?,Zircon,Birthright,The Flaming Crisis,Smiling Hate,A Son of Satan,Spider's Web,Welcome Strangers,Black Gold,By Right of Birth,A Fool's Paradise,The Greatest Sin,Golden Pearls of Progress","Lincoln Motion Picture Company,Unique Film Company,Frederick Douglass Film Company,Savannah Motion Picture Company,Peacock Photoplay Company,Peter P. Jones Photoplay Ltd.,Royal Gardens Motion Picture Company,Maurice Film Company,Birth of a Race Film Company,Democracy Photoplay Corporation,Dunbar Film Corporation,Afro-American Film Company,Eagle Film Company,Strand Amusement Corporation,McFall Film Production Company,Western Film Production Company,Seminole Film Producing Company,Paragon Pictures,Fife Production Company,White Film Corporation,Trio Productions,Exquisite Productions","West,Brooks,Pickens,Everett,Clements,White,Saunders,Richardson,Thomas,Wells,Dillon,Hackett,Evans,Williams,Conn,DeLa Valade,Rodgers,Bristol,Schroeder,Mummery,Graham,Pollard,Phillips,Barker,Williams,Kalana,McKinney,Coleman,Norris,Peacock,Eckert,Elwald,Bell,Riley,McFall,Bynum,Austin,Easter,Holman,Ewing,Thorton,Blanton,Parks,Williams,Milburn,Allen,Carpenter,Boles,Farmer,Griffin,Green,Maurice,Nelson,Ward,Williams,Harris,Joyce,Walker,Brown,Morris,Smith,Brooks,Clayton,Criner,Gilpin,Johnson,Muse,Whipper,Whitney,Williams,Lewis,Mix,Jeffrey,Brooks,Miller,Young,Southern ,Tones,Wills,Williams,Carrols"
Migrating to the Movies: Cinema and Black Urban Modernity,Stewart,Jacqueline Najuma,2005,University of California Press,,,,,The Comeback of Barnacle Bill,,
