Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
al negotio del libraro,librer,libraio,librai - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
arte de far arpicordi,arte de far arpicordi,fabbricatore di arpicordi,fabbricatore di strumenti musicali,musica,altri servizi,servizi,
arte de' colori,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
arte dei colori,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
arte dei smalti,arte delli smalti,smalti,smalti,smalti,altre lavorazioni manifatturiere,beni,paternosteri e cristalleri
arte del vero da lume,perler,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
arte deli smalti,arte delli smalti,smalti,smalti,smalti,altre lavorazioni manifatturiere,beni,paternosteri e cristalleri
arte della lume,supialume,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
arte delle cere,arte delle cere,ceraio,cera,cera,altre lavorazioni manifatturiere,beni,marzeri
arte delli smalti,arte delli smalti,smalti,smalti,smalti,altre lavorazioni manifatturiere,beni,paternosteri e cristalleri
arte di colori,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
balarin,balarin,ballerino,ballerino,musica,altri servizi,servizi,
balerin,balarin,ballerino,ballerino,musica,altri servizi,servizi,
batador di argento,batiarzento,battiargento,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
batiargento,batiarzento,battiargento,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
batioro,batioro,battioro,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
batti foggia e stagnoli,batifogia e stagnolo,battistagno,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
battiargento,batiarzento,battiargento,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
battifoglio al bagno di colori,battifoglio al bagno di colori,battifoglio al bagno di colori,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
battioro,batioro,battioro,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
battioro et arzento,batioro e batiarzento,battioro e battiargento,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
bianchizador da cere,bianchizador da cere,biancheggiatore di cera,cera,cera,altre lavorazioni manifatturiere,beni,marzeri
bianchizar cere,bianchizador da cere,biancheggiatore di cera,cera,cera,altre lavorazioni manifatturiere,beni,marzeri
bottoner,bottoner,bottonaio,bottonaio,altro,abbigliamento,beni,marzeri
butador d'argento,butador d'argento,fonditore di argento,zecca,stampa,altre lavorazioni manifatturiere,beni,zecca
butar e tornir latoni,butar e tornir latoni,lavorazione dell'ottone,fonditori - diverse specializzazioni,metalli,altre lavorazioni manifatturiere,beni,orefici e gioiellieri
calciner,calciner,trasportatore di calce,trasportatore di calce,trasporto e imballaggio,commercio,servizi,calcineri
cartariol,carter,cartaio,fabbricazione carte,carta,altre lavorazioni manifatturiere,beni,carteri
carter,carter,cartaio,fabbricazione carte,carta,altre lavorazioni manifatturiere,beni,carteri
carter,carter,cartaio,fabbricazione carte,carta,altre lavorazioni manifatturiere,beni,carteri
carter da carta bianca,carter da carta bianca,cartaio - diverse specializzazioni,fabbricazione carte,carta,altre lavorazioni manifatturiere,beni,carteri
carter da libri,carter da libri,cartaio,fabbricazione carte,carta,altre lavorazioni manifatturiere,beni,carteri
cartoler,cartoler,cartaio,fabbricazione carte,carta,altre lavorazioni manifatturiere,beni,carteri
cartoler,cartoler,cartaio,fabbricazione carte,carta,altre lavorazioni manifatturiere,beni,carteri
case de ancipresso?,far casse da ancipresso,mobiliere - diverse specializzazioni,falegname ,legno,altre lavorazioni manifatturiere,beni,marangoni
casse da specchi,far casse da specchi,mobiliere - diverse specializzazioni,falegname ,legno,altre lavorazioni manifatturiere,beni,marangoni
casseler da specchi di ebano,casseler da specchi di ebano,fabbricatore di casse - diverse specializzazioni,fabbricatore di casse e simili,contenitori,oggettistica,beni,casselleri
cerer,cerer,ceraio,cere,cera,altre lavorazioni manifatturiere,beni,marzeri
cimbaner,cimbaner,cimbalaio,fabbricatore di strumenti musicali,musica,altri servizi,servizi,
citador da caratteri da stampa,getador da caratteri da stampa,fonditore di caratteri da stampa,fonditori - stampa,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
compositor,compositor,compositore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
compositor alla stampa,compositor alla stampa,compositore,stampatori - diverse specializzazioni,stampa,altre lavorazioni manifatturiere,beni,"libreri, stampatori e ligadori"
comprar et vender smaltini et paternostri di vetro,comprar et vender smaltini et paternostri di vetro,venditori di oggetti in vetro,venditori di oggetti in vetro,vetro,oggettistica,beni,
conza rubini et altre pietre simile,conzarubini et altre pietre simile,intagliatore di rubini e pietre dure,gioielliere,oro e preziosi,oggettistica,beni,orefici e gioiellieri
conzar rubini,conzarubini,intagliatore di rubini e pietre dure,gioielliere,oro e preziosi,oggettistica,beni,orefici e gioiellieri
conzarubini,conzarubini,intagliatore di rubini e pietre dure,gioielliere,oro e preziosi,oggettistica,beni,orefici e gioiellieri
cuori d'oro,cuori d'oro,cuoridoro,orpellaio,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
cuoridoro,cuori d'oro,cuoridoro,orpellaio,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
cuoridoro,cuori d'oro,cuoridoro,orpellaio,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
dai colari,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
dai colori,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
dai cori d'oro,cuori d'oro,cuoridoro,orpellaio,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
dai dai colori,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
dai violini,dai violini,liutaio,liutaio,musica,altri servizi,servizi,
dalle casse da specchi di carton,dalle casse da specchi di carton,decoratore,decoratore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
dalle dalle perle false,dalle perle false,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
dalle perle false,dalle perle false,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
dalle perle false,dalle perle false,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
dalli anelli falsi,dalli anelli falsi,produttore di anelli falsi,produttore di anelli falsi,altro,oggettistica,beni,
dalli colori,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
dalli rimessi,marangon da remessi,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
dalli tavollini di rimesso,dalli tavollini di rimesso,impiallacciatore,falegname,legno,altre lavorazioni manifatturiere,beni,marangoni
delle perle false,delle perle false,perlaio,perlaio,vetro,oggettistica,beni,paternosteri e cristalleri
depentor,depentor,decoratore,decoratore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
depentor da casse,depentor da casse,decoratore,decoratore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
depentor de casse,depentor da casse,decoratore,decoratore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
desegnador,desegnador,disegnatore,disegnatore,disegnatore,decorazioni e mestieri dell'arte,beni,dipintori
dessegnador,desegnador,disegnatore,disegnatore,disegnatore,decorazioni e mestieri dell'arte,beni,dipintori
diamanter,diamanter,diamantaio ,diamantaio ,oro e preziosi,alimenti,beni,orefici e gioiellieri
diamanter,diamanter,diamantaio ,diamantaio ,oro e preziosi,alimenti,beni,orefici e gioiellieri
esercitio di colori,arte dei colori,fabbricazione/vendita di colori,colori,colori,decorazioni e mestieri dell'arte,beni,spezieri
esercizio delle merze,merzer,merzer,merciaio,merciai,commercio,servizi,marzeri
esercizio delle merze de pi�? sorte,merzer,merzer,merciaio,merciai,commercio,servizi,marzeri
fa case da spechi,far casse da specchi,mobiliere - diverse specializzazioni,falegname ,legno,altre lavorazioni manifatturiere,beni,marangoni
fabricar manacordi,fabricar manacordi,fabbricatore di manacordi,fabbricatore di strumenti musicali,musica,altri servizi,servizi,
far anelli falsi,far anelli falsi,produttore di anelli falsi,produttore di anelli falsi,altro,oggettistica,beni,
far balle e pomoli da spechi,far balle e pomoli da spechi,fabbricatore di impugnature per specchi,fabbricatore di impugnature per specchi,altro,oggettistica,beni,specchieri
far bottoni,bottoner,bottonaio,bottonaio,altro,abbigliamento,beni,marzeri
far case da spechi indorade de corami,far case da spechi indorade de corami,mobiliere - diverse specializzazioni,falegname ,legno,altre lavorazioni manifatturiere,beni,marangoni
far case de ancipresso,far casse de ancipresso,mobiliere - diverse specializzazioni,falegname ,legno,altre lavorazioni manifatturiere,beni,marangoni
far di stuchi,stucador,stuccatore,stuccatore,edilizia,costruzioni,beni,taiapiera
far libreti de spechi de miniar,far libreti de spechi de miniar,decoratore,decoratore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
far libreti e case da spechi stampadi,far libreti e case da spechi stampadi,decoratore,decoratore,decorazioni e mestieri dell'arte,decorazioni e mestieri dell'arte,beni,dipintori
far oro,far oro,orefice,orefice,oro e preziosi,oggettistica,beni,orefici e gioiellieri
far smalti al lume,arte delli smalti al lume,smalti,smalti,smalti,altre lavorazioni manifatturiere,beni,paternosteri e cristalleri
filaoro,filaoro,filaoro,fabbricatore di foglie/fili/cordelle d'oro o argento,oro e preziosi,oggettistica,beni,"battioro, stagnoli e colori"
franzer,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
franzer fava,marzer,marzer,merciaio,merciai,commercio,servizi,marzeri
