Aleph system no.;Country code;Language code (008);Language code (041);DDC;Personal author;Corporate author;Title;Edition;Imprint;Series;Subjects;Other personal authors;Other corporate authors;DOM ID;Type;Genre;first_pdf
14805618;|||;eng;;;BONNEY, Thomas George.;;The Alpine Regions of Switzerland and the neighbouring countries. A pedestrian's notes on their physical features, scenery, and natural history ... With illustrations by E. Whymper. [electronic resource];;Cambridge : Deighton, Bell & Co., 1868.;;;WHYMPER, Edward.;;lsidyv3becb649;story;Prose;lsidyv3becb649
14939494;|||;eng;;;FREEMAN, Edward Augustus.;;[The History of the Norman Conquest of England, its causes and its results.] [electronic resource];Third edition, revised. vol. 1, 2.;Oxford, 1877.;;;;;lsidyv386a29a7 -- lsidyv386a4a87;story;Prose;lsidyv386a29a7
14828093;|||;eng;;;REDFERN, Francis.;;"History of the Town of Uttoxeter; with notices of places in its neighbourhood. [electronic resource]";;London, 1865.;;;;;lsidyv3c4d30a3;story;Prose;lsidyv3c4d30a3
14880318;|||;eng;;;SIMONDE DE SISMONDI, Jean Charles Léonard.;;The History of the French ... Translated by W. Bellingham. [electronic resource];;London, 1849, 50.;;;BELLINGHAM, William, of Lincoln's Inn.;;lsidyv2af98846;story;Prose;lsidyv2af98846
14872367;|||;eng;;;MIKHAILOVSKY-DANILEVSKY, Aleksandr Ivanovich, General.;;"History of the Campaign in France in the year 1814; translated from the Russian. [electronic resource]";;London, 1839.;;;;;lsidyv370ba897;story;Prose;lsidyv370ba897
14871506;|||;eng;;;Crowe, Eyre Evans, 1799-1868.;;History of the Reigns of Louis XVIII. and Charles X. [electronic resource];;London : Richard Bentley, 1854.;;;;;lsidyv374bc208 -- lsidyv32d3ea1b;story;Prose;lsidyv374bc208
14807879;|||;eng;;;COOK, Theodore Andrea, Sir.;;Old Touraine. The life and history of the famous châteaux of France. [electronic resource];;London : Percival & Co., 1892.;;;;;lsidyv3bbaf7a9 -- lsidyv3bbb036e;story;Prose;lsidyv3bbaf7a9
14806128;|||;eng;;;Brown, Robert, 1842-1895.;;[Our Earth and its Story: a popular treatise on physical geography. Edited by R. Brown. With ... coloured plates and maps, etc.] [electronic resource];;London, 1899.;;;;;lsidyv35bb774f -- lsidyv3bdc4a3e -- lsidyv3bdc68d2;story;Prose;lsidyv35bb774f
14879801;|||;eng;;;GROTE, George.;;History of Greece ... A new edition. With portrait, map and plans. [electronic resource];;London : John Murray, 1888 ([Aberdeen printed]);;;;;lsidyv32c2c365 -- lsidyv3099ffbd -- lsidyv309a346f -- lsidyv376e0467 -- lsidyv309a51bc -- lsidyv376e1f13 -- lsidyv3099ad2d -- lsidyv3159f92a -- lsidyv32c2aabb -- lsidyv3789f43f;story;Prose;lsidyv32c2c365
14809252;|||;eng;;;DOBSON, William, of Preston.;;The story of our Town Hall. [electronic resource];;Preston : W. Dobson, 1879.;;;;;lsidyv2c25dfc1;story;Prose;lsidyv2c25dfc1
