name
A. A.
"Abbott, Evelyn"
"A'BECKETT, Gilbert Abbott."
"Laffan, De Courcy - Mrs"
"Adams, W. H. Davenport (William Henry Davenport)"
"ALGIE, James."
"ALLAN, J. T."
""
"Andersen, H. C. (Hans Christian)"
"ANDERSON, Alexander - of Kirkconnell"
"ANDREWS, Christopher Columbus."
"ANGELL, Israel."
"ANGUS, William - of Selkirk"
"APPLETON, Daniel - AND CO"
"ARDEN, Thomas - of Faversham"
"Arnold, Edwin - Sir"
"ARNOLD, Isaac Newton."
"ARTERTON, A."
"ATKINSON, James - of the East India Company's Bengal Medical Service"
"AVERY, Benjamin Parke."
"AYSCOUGH, George Edward."
"BAGG, J. N."
"BAKER, Thomas Turner."
"BALL, afterwards FITZBALL, Edward."
"BANCROFT, Hubert Howe."
"BARBER, John Warner."
"BARNARD, John Gross - and BARRY (William F.)"
"BARRINGTON, George."
"BARRY, John Stetson."
"BARTHOLOMEW, John - Dramatist"
"BATE, Henry - Rev., afterwards DUDLEY (Sir Henry Bate) Rev., Bart"
"BEECHAM, John."
"BEECHAM, Kennett J."
"BELCHER, Edward - Sir"
"BELFOUR, John - M.R.S.L"
"BELL, Archibald - Advocate"
"Belzoni, Giovanni Battista"
"BENNETT, George - Esq., B.L"
"BERNARD, William Dallas."
"BERRESFORD, G."
"BEST, William - B.A., Minister of South Parade Chapel, Leeds"
"BEVAN, William Latham."
"BEVERIDGE, Henry - of the Bengal Civil Service"
"BIGELOW, John - the Elder"
"BIGLAND, John."
"BLACKIE, John Stuart."
"BLAKEWAY, John Brickdale."
"BLOOMFIELD, Robert - Poet"
"BODDY, Evan Marlett."
"BONNEY, Thomas George."
"BOWES, William."
"BRAMSEN, John."
"BRITTON, Wiley."
"BROOKS, Elbridge Streeter."
"Brown, Cornelius."
"BROWN, Mary - of Littleborough"
"BROWN, Robert - M.A., Ph.D"
"BROWNE, John Cave."
"BROWNE, Robert William."
"BROWNE, Wilfrid."
"BROWNING, Robert - the Poet"
"BURT, Charles - Alderman of Richmond, Surrey"
"BUTLER, Caleb."
"BUTLER, John Wesley."
"BUTTERWORTH, Hezekiah."
"Byron, George Gordon Byron - Baron"
"C., W. J. - an Old Rider"
"CALCRAFT, John William - pseud. [i.e. John William Cole.]"
