NLP,issue,art_num,title,collection,full_date,year,month,day,location,word_count,ocrquality,decade
0003077,126,art0037,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1894-01-26,1894,1,26,"Nelson, Lancashire, England",174,0.853,1890
0003040,326,art0056,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1887-03-26,1887,3,26,"Birkenhead, Merseyside, England",509,0.9844,1880
0002596,331,art0066,The Cotton Factory Times.,British Library Living with Machines Project,1893-03-31,1893,3,31,"Manchester, Greater Manchester, England",758,0.8394,1890
0003057,1110,art0142,"Bridgend & Neath Chronicle, and County of Glamorgan Advertiser.",British Library Living with Machines Project,1893-11-10,1893,11,10,"Bridgend, Mid Glamorgan, Wales",24,0.7246,1890
0003037,806,art0045,The Blackpool Herald.,British Library Living with Machines Project,1880-08-06,1880,8,6,"Blackpool, Lancashire, England",71,0.8813,1880
0002981,904,art0002,"The Weymouth, Portland and Dorchester Telegram.",British Library Living with Machines Project,1885-09-04,1885,9,4,"Weymouth, Dorset, England",426,0.6397,1880
0003039,328,art0066,The Northern Guardian.,British Library Living with Machines Project,1899-03-28,1899,3,28,"Hartlepool, Cleveland, England",103,0.6683,1890
0003059,323,art0029,Bridlington and Quay Gazette.,British Library Living with Machines Project,1895-03-23,1895,3,23,"Bridlington, Humberside, England",3,0.4967,1890
0003074,1201,art0148,The North-Eastern Weekly Gazette.,British Library Living with Machines Project,1894-12-01,1894,12,1,"Stockton-on-Tees, Cleveland, England",25,0.7884,1890
0002620,107,art0025,"Denton and Haughton Examiner, etc.",British Library Living with Machines Project,1882-01-07,1882,1,7,"Denton, Greater Manchester, England",62,0.9008,1880
0003077,710,art0109,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1891-07-10,1891,7,10,"Nelson, Lancashire, England",1016,0.8985,1890
0003039,917,art0074,The Northern Guardian.,British Library Living with Machines Project,1897-09-17,1897,9,17,"Hartlepool, Cleveland, England",140,0.9844,1890
0003040,1222,art0079,The Birkenhead News and Wirral General Advertiser.,British Library Living with Machines Project,1883-12-22,1883,12,22,"Birkenhead, Merseyside, England",35,0.8046,1880
0003060,1127,art0018,"Bridport, Beaminster, and Lyme Regis Telegram and Dorset, Somerset, and Devon Advertiser.",British Library Living with Machines Project,1885-11-27,1885,11,27,"Bridport, Dorset, England",288,0.9454,1880
0002601,827,art0064,Widnes Examiner.,British Library Living with Machines Project,1897-08-27,1897,8,27,"Widnes, Cheshire, England",111,0.5902,1890
0003039,726,art0002,The Northern Guardian.,British Library Living with Machines Project,1895-07-26,1895,7,26,"Hartlepool, Cleveland, England",163,0.9196,1890
0003077,622,art0035,"Nelson Chronicle, Colne Observer, and Clitheroe Division News.",British Library Living with Machines Project,1894-06-22,1894,6,22,"Nelson, Lancashire, England",699,0.8472,1890
0002975,825,art0041,"Stockton Herald, South Durham and Cleveland Advertiser.",British Library Living with Machines Project,1888-08-25,1888,8,25,"Stockton-on-Tees, Cleveland, England",2,1.0,1880
0003035,319,art0060,The Herald of Wales.,British Library Living with Machines Project,1887-03-19,1887,3,19,"Swansea, West Glamorgan, Wales",444,0.875,1880
0003039,907,art0056,The Northern Guardian.,British Library Living with Machines Project,1896-09-07,1896,9,7,"Hartlepool, Cleveland, England",847,0.7577,1890
0003055,615,art0007,The Blandford and Wimbourne Telegram.,British Library Living with Machines Project,1883-06-15,1883,6,15,"Blandford, Dorset, England",375,0.9418,1880
0003083,330,art0055,The Poole Telegram.,British Library Living with Machines Project,1883-03-30,1883,3,30,"Poole, Dorset, England",428,0.9288,1880
