NLP,year,wikidata_id,S-PRICE
0000051,1846,Q84,5d
0001260,1846,Q84,3 ½
0001652,1846,Q84,5d
0001702,1846,Q84,5d
0001286,1846,Q84,6d
0000355,1846,Q84,5d
0001316,1846,Q84,5d
0001945,1846,Q84,6d
0002447,1846,Q84,6d
0001681,1846,Q84,7d
0001288,1846,Q213474,4d
0000270,1846,Q213474,5d
0001523,1846,Q806160,5d
0001289,1846,Q208257,5d
0000151,1846,Q188313,4 ½ d
0001292,1846,Q184579,4 ½ d
0000938,1846,Q131491,6d
0000981,1846,Q23154,5d
0001675,1846,Q971223,4d
0000235,1846,Q29303,4d
0001404,1846,Q29303,4d
0000363,1846,Q192896,4 ½ d
0000365,1846,Q192896,4 ½ d
0001635,1846,Q210985,5d
0002212,1846,Q206988,5d
0002214,1846,Q206988,5d
0000395,1846,Q823600,4 ½ d
0001955,1846,Q852772,5d
0001083,1846,Q6225,½ d
0000360,1846,Q1026699,5d
0000359,1846,Q1026699,5d
0000408,1846,Q503331,
0000612,1846,Q179815,4 ½ d
0001653,1846,Q179815,4 ½ d
0001017,1846,Q676689,6d
0000937,1846,Q179385,5d
0000306,1846,Q179385,6d
0000398,1846,Q204720,4 ½ d
0000396,1846,Q204720,4 ½ d
0001325,1846,Q184775,4 ½ d
0000399,1846,Q994575,4 ½ d
0000488,1846,Q205905,4 ½ d
0000249,1846,Q546635,4 ½ d
0000336,1846,Q39121,4 ½ d
0000205,1846,Q83065,4 ½ d
0000257,1846,Q246884,5d
0001299,1846,Q24826,5d
0001300,1846,Q24826,5d
0000081,1846,Q24826,plement<SEP>6d
0001097,1846,Q213180,5d
0000083,1846,Q18125,4 ½ d
0000366,1846,Q1973774,4 ½ d
0000317,1846,Q192240,4 ½ d
0000244,1846,Q130191,4 ½ d
0001669,1846,Q130191,4 ½ d
0000247,1846,Q130191,4 ½ d
0002131,1846,Q41262,4 ½ d
0000989,1846,Q34217,5d
0000992,1846,Q34217,5d
0000099,1846,Q184090,4 ½ d
0000369,1846,Q21496716,5d
0000358,1846,Q21496716,5d
0000361,1846,Q160642,5d
0000411,1846,Q586895,4 ½ d
0000401,1846,Q201970,4 ½ d
0000252,1846,Q826782,4 ½ d
0000354,1846,Q1000662,4 ½ d
0000237,1846,Q1000662,4 ½ d
0000230,1846,Q172157,5d
0000413,1846,Q464955,5d
0000350,1846,Q1646181,5d
0002740,1846,Q630668,4 ½ d
0000447,1846,Q1012047,3d
0002741,1846,Q1012047,4 ½ d
0000296,1846,Q123709,3d
0000160,1846,Q123709,4 ½ d
0002747,1846,Q23436,Satur<SEP>4 ½ d
0002172,1846,Q1010531,4 ½ d
0003088,1846,Q4093,4 ½ d
0003089,1846,Q4093,4 ½ d
0000970,1846,Q217831,4 ½ d
0000446,1846,Q160493,4 ½ d
0001281,1846,Q654945,4 ½ d
0002751,1846,Q420303,4 ½ d
0001174,1846,Q203000,4 ½ d
0000459,1846,Q1012502,4 ½ d
0001372,1846,Q193452,5d
0001375,1846,Q10686,4d
0000434,1846,Q10686,Satur<SEP>4d
0001283,1846,Q1108185,4d
0001277,1846,Q1024917,4 ½ d
0000830,1846,Q204956,4 ½ d
0000822,1846,Q990109,4d
0001115,1846,Q163584,4 ½ d
0001480,1846,Q163584,4 ½ d
0001318,1846,Q163584,4 ½ d
0000998,1846,Q269980,4 ½ d
0001144,1846,Q510513,5d
0000051,1847,Q84,3d
0001260,1847,Q84,3 ½ d
0002642,1847,Q84,3d
0002642,1847,Q84,3d
0001652,1847,Q84,5d
0001702,1847,Q84,5d
0001286,1847,Q84,6d
0000355,1847,Q84,5d
0001316,1847,Q84,5d
0002946,1847,Q84,9d
0001945,1847,Q84,6d
0002254,1847,Q84,6d
0002447,1847,Q84,6d
0001083,1847,Q2190607,3 ½ d
0001288,1847,Q213474,4d
0000270,1847,Q213474,5d
0001523,1847,Q806160,5d
0001289,1847,Q208257,5d
0000151,1847,Q188313,3d
0001292,1847,Q184579,4d
0000938,1847,Q131491,6d
0000981,1847,Q23154,5d
0001675,1847,Q971223,4d
0000235,1847,Q29303,4d
0001404,1847,Q29303,4d
0000362,1847,Q192896,4 ½ d
0000365,1847,Q192896,4 ½ d
0001635,1847,Q210985,5d
0002212,1847,Q206988,5d
0002214,1847,Q206988,5d
0000395,1847,Q823600,4 ½ d
0001955,1847,Q852772,5d
0000360,1847,Q1026699,5d
0000359,1847,Q1026699,5d
0000408,1847,Q503331,
0000612,1847,Q179815,4 ½ d
0001653,1847,Q179815,4 ½ d
0001017,1847,Q676689,6d
0000937,1847,Q179385,5d
0000306,1847,Q179385,6d
0002874,1847,Q826561,4 ½ d
0002875,1847,Q826561,4 ½ d
0000398,1847,Q204720,4 ½ d
0000396,1847,Q204720,4 ½ d
0001325,1847,Q184775,4 ½ d
0000399,1847,Q994575,4 ½ d
0000488,1847,Q205905,4 ½ d
0000249,1847,Q546635,4 ½ d
0000336,1847,Q39121,4 ½ d
0000205,1847,Q83065,4 ½<SEP>4
0000257,1847,Q246884,5d
0001299,1847,Q24826,5d
0001300,1847,Q24826,4d
0000081,1847,Q24826,6d
0001097,1847,Q213180,5d
0000083,1847,Q18125,4 ½ d
0000366,1847,Q1973774,4 ½ d
0000317,1847,Q192240,4 ½ d
0000244,1847,Q130191,4 ½ d
0001669,1847,Q130191,4 ½ d
0000247,1847,Q130191,3d
0002131,1847,Q41262,4 ½ d
0000989,1847,Q34217,5d
0000992,1847,Q34217,5d
0000099,1847,Q184090,4 ½ d
0000369,1847,Q21496716,5d
0000358,1847,Q21496716,5d
0000361,1847,Q160642,5d
0000411,1847,Q586895,4 ½ d
0000401,1847,Q201970,4 ½ d
0000251,1847,Q826782,4 ½ d
0000252,1847,Q826782,4 ½ d
0000354,1847,Q1000662,4 ½ d
0000237,1847,Q1000662,4 ½ d
0001369,1847,Q845623,3d
0000230,1847,Q172157,5d
0000413,1847,Q464955,5d
0000350,1847,Q1646181,5d
0002740,1847,Q630668,4 ½ d
0001195,1847,Q54809,3 ½ d
0000447,1847,Q1012047,3d
0002741,1847,Q1012047,4 ½ d
0000296,1847,Q123709,3d
0000160,1847,Q123709,4 ½ d
0002747,1847,Q23436,Satur<SEP>4 ½ d
0002172,1847,Q1010531,5d
0003088,1847,Q4093,4 ½ d
0003089,1847,Q4093,4 ½ d
0000970,1847,Q217831,4 ½ d
0000446,1847,Q160493,4 ½ d
0001281,1847,Q654945,4 ½ d
0002751,1847,Q420303,4 ½ d
0001372,1847,Q193452,5d
0001375,1847,Q10686,4d
0000434,1847,Q10686,Satur<SEP>4d
0001283,1847,Q1108185,4d
0001277,1847,Q1024917,
0000830,1847,,4 ½ d
0000822,1847,Q990109,4d
0001115,1847,Q163584,4 ½ d
0001480,1847,Q163584,4 ½ d
0001318,1847,Q163584,54
0000998,1847,Q269980,4 ½ d
0001144,1847,Q510513,5d
0001260,1851,Q84,3 ½ d
0002642,1851,Q84,3d<SEP>4d
0002642,1851,Q84,3d<SEP>4d
0001652,1851,Q84,5d
0001702,1851,Q84,6d
0001286,1851,Q84,6d
0000355,1851,Q84,5d
0000422,1851,Q84,1s<SEP>7d
0001316,1851,Q84,5d
0002946,1851,Q84,9d
0001945,1851,Q84,6d
0002197,1851,Q213474,4d
0000270,1851,Q213474,5d
0001523,1851,Q806160,5d
0001289,1851,Q208257,5d
0000151,1851,Q188313,4d
0001292,1851,Q184579,4d
0000155,1851,Q22905,4 ½ d
0000938,1851,Q131491,6d
0000981,1851,Q23154,5d
0001675,1851,Q971223,4d
0000235,1851,Q29303,4 ½ d
0001404,1851,Q29303,4d
0000363,1851,Q192896,44 ½ d
0000365,1851,Q192896,4 ½ d
0001635,1851,Q210985,5d
0002212,1851,Q206988,5d
0002214,1851,Q206988,5d
0000395,1851,Q823600,4 ½ d
0001955,1851,Q852772,5d
0000360,1851,Q1026699,5d
0000359,1851,Q1026699,5d
0000408,1851,Q503331,5d
0000613,1851,Q179815,4 ½ d
0001653,1851,Q179815,4 ½ d
0000937,1851,Q179385,5d
0000398,1851,Q204720,4 ½ d
0000396,1851,Q204720,4 ½ d
0001325,1851,Q184775,4 ½ d
0000399,1851,Q994575,4 ½ d
0000488,1851,Q205905,4 ½ d
0000249,1851,Q546635,4 ½ d
0000336,1851,Q39121,4 ½ d
0000205,1851,Q83065,4 ½ d
0000257,1851,Q246884,5d
0001300,1851,Q24826,5d
0000081,1851,Q24826,4 ½ d
0001097,1851,Q213180,5d
0000366,1851,Q1973774,4 ½ d
0000317,1851,Q192240,4 ½ d
0000244,1851,Q130191,4 ½ d
0001669,1851,Q130191,4 ½ d
0000247,1851,Q130191,3 ½ d
0002131,1851,Q41262,4 ½ d
0000989,1851,Q34217,5d
0000992,1851,Q34217,5d
0001617,1851,Q208209,4d
0001365,1851,Q28599921,5d
0000099,1851,Q184090,4 ½ d
0000369,1851,Q21496716,5d
0000358,1851,Q21496716,5d
0000361,1851,Q160642,5d
0000411,1851,Q586895,5d
0000401,1851,Q201970,4 ½ d
0000252,1851,Q826782,4 ½ d
0000354,1851,Q1000662,4 ½ d
0000237,1851,Q1000662,4 ½ d
0001369,1851,Q845623,3d
0000231,1851,Q172157,5d
0000413,1851,Q464955,5d
0001017,1851,Q1006232,6d
0000350,1851,Q1646181,5d
0000150,1851,Q1646181,5d
0002883,1851,Q42462,3d
0001604,1851,Q1009331,2 ½ d
0002740,1851,Q630668,4 ½ d
0001546,1851,Q45848,3d
0000447,1851,Q1012047,4 ½ d
0002741,1851,Q1012047,4 ½ d
0000296,1851,Q123709,3 ½ d
0000160,1851,Q123709,4 ½ d
0002742,1851,Q23436,5d
0002172,1851,Q1010531,5d
0000970,1851,Q217831,4 ½ d
0000446,1851,Q160493,4 ½ d
0001281,1851,Q654945,4 ½ d
0002751,1851,Q420303,4 ½ d
0001271,1851,Q1002177,3 ½ d
0000459,1851,Q1012502,4 ½ d
0001372,1851,Q193452,5d
0001375,1851,Q10686,4d
0000434,1851,Q10686,4d
0001283,1851,Q1108185,4d
0001277,1851,Q1024917,4 ½ d
0000830,1851,Q204956,4 ½ d
0001115,1851,Q163584,½ d
0001480,1851,Q163584,5d
0001318,1851,Q163584,5d
0000998,1851,Q269980,4 ½ d
0001144,1851,Q510513,5d
0001260,1856,Q84,2 ½ d<SEP>3 ½ d
0002642,1856,Q84,2d<SEP>3d
0002642,1856,Q84,2d<SEP>3d
0001652,1856,Q84,4d<SEP>5d
