wikidata_id,latitude,longitude
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q213474,51.8168,-0.8124
Q213474,51.8168,-0.8124
Q806160,52.061389,-1.339167
Q208257,52.134444,-0.463056
Q188313,53.7449,-2.4769
Q184579,53.583333,-2.433333
Q131491,50.824167,-0.133889
Q23154,51.45,-2.583333
Q971223,53.259,-1.911
Q29303,51.278333,1.0775
Q29303,51.278333,1.0775
Q192896,54.883333,-2.95
Q192896,54.883333,-2.95
Q210985,51.7361,0.4798
Q206988,51.896519,-2.078428
Q206988,51.896519,-2.078428
Q823600,53.235833,-1.4275
Q852772,51.719,-1.968
Q6225,52.416667,-1.516667
Q1026699,51.353,-1.994
Q1026699,51.353,-1.994
Q503331,50.710833,-2.439722
Q179815,54.783333,-1.566667
Q179815,54.783333,-1.566667
Q676689,51.441667,0.368611
Q179385,51.48,0.0
Q179385,51.48,0.0
Q204720,52.056389,-2.716111
Q204720,52.056389,-2.716111
Q184775,52.059444,1.155556
Q994575,54.326,-2.745
Q205905,54.047,-2.801
Q546635,52.292,-1.537
Q39121,53.799722,-1.549167
Q83065,52.633333,-1.133333
Q246884,50.872,0.013
Q24826,53.416667,-3.0
Q24826,53.416667,-3.0
Q24826,53.416667,-3.0
Q213180,51.271667,0.529444
Q18125,53.466667,-2.233333
Q1973774,54.21,-5.882
Q192240,52.233333,-0.9
Q130191,52.628056,1.299167
Q130191,52.628056,1.299167
Q130191,52.628056,1.299167
Q41262,52.955,-1.149167
Q34217,51.751944,-1.257778
Q34217,51.751944,-1.257778
Q184090,53.759444,-2.698056
Q21496716,51.454167,-0.973056
Q21496716,51.454167,-0.973056
Q160642,51.074,-1.7936
Q586895,50.9491,-2.5183
Q201970,52.708056,-2.754444
Q826782,52.8066,-2.1171
Q1000662,52.6556,-0.4837
Q1000662,52.6556,-0.4837
Q172157,51.063333,-1.308611
Q464955,51.483333,-0.6
Q1646181,52.191111,-2.222222
Q630668,56.561386,-2.585706
Q1012047,56.3194,-3.01155
Q1012047,56.3194,-3.01155
Q123709,56.464,-2.97
Q123709,56.464,-2.97
Q23436,55.95,-3.198889
Q1010531,57.6,-3.61673
Q4093,55.86,-4.25
Q4093,55.86,-4.25
Q217831,55.95,-4.766667
Q160493,57.483889,-4.225833
Q654945,55.5985,-2.4336
Q420303,56.708,-2.467
Q203000,56.395278,-3.431667
Q1012502,58.454,-3.089
Q193452,54.349444,-6.654444
Q10686,54.596389,-5.93
Q10686,54.596389,-5.93
Q1108185,55.133,-6.661
Q1024917,54.322,-5.703
Q204956,54.009,-6.4049
Q990109,54.344722,-7.638889
Q163584,54.991667,-7.341667
Q163584,54.991667,-7.341667
Q163584,54.991667,-7.341667
Q269980,54.175556,-6.349167
Q510513,54.59,-7.29
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q84,51.507222,-0.1275
Q2190607,53.0167,-1.7167
Q213474,51.8168,-0.8124
Q213474,51.8168,-0.8124
Q806160,52.061389,-1.339167
Q208257,52.134444,-0.463056
Q188313,53.7449,-2.4769
Q184579,53.583333,-2.433333
Q131491,50.824167,-0.133889
Q23154,51.45,-2.583333
Q971223,53.259,-1.911
Q29303,51.278333,1.0775
Q29303,51.278333,1.0775
Q192896,54.883333,-2.95
Q192896,54.883333,-2.95
Q210985,51.7361,0.4798
Q206988,51.896519,-2.078428
Q206988,51.896519,-2.078428
Q823600,53.235833,-1.4275
Q852772,51.719,-1.968
Q1026699,51.353,-1.994
Q1026699,51.353,-1.994
Q503331,50.710833,-2.439722
Q179815,54.783333,-1.566667
Q179815,54.783333,-1.566667
Q676689,51.441667,0.368611
Q179385,51.48,0.0
Q179385,51.48,0.0
Q826561,53.725,-1.863
Q826561,53.725,-1.863
Q204720,52.056389,-2.716111
Q204720,52.056389,-2.716111
Q184775,52.059444,1.155556
Q994575,54.326,-2.745
Q205905,54.047,-2.801
Q546635,52.292,-1.537
Q39121,53.799722,-1.549167
Q83065,52.633333,-1.133333
Q246884,50.872,0.013
Q24826,53.416667,-3.0
Q24826,53.416667,-3.0
Q24826,53.416667,-3.0
Q213180,51.271667,0.529444
Q18125,53.466667,-2.233333
Q1973774,54.21,-5.882
Q192240,52.233333,-0.9
